source,target,weight
Asbjørn Elazar,rokokoposten.dk,1
Atomkraft - ja tak!,180grader.dk,1
Atomkraft - ja tak!,24nyt.dk,1
Atomkraft - ja tak!,altinget.dk,5
Atomkraft - ja tak!,avisendanmark.dk,1
Atomkraft - ja tak!,bbc.com,1
Atomkraft - ja tak!,berlingske.dk,23
Atomkraft - ja tak!,bloomberg.com,3
Atomkraft - ja tak!,borsen.dk,1
Atomkraft - ja tak!,cnbc.com,1
Atomkraft - ja tak!,denkorteavis.dk,4
Atomkraft - ja tak!,dr.dk,40
Atomkraft - ja tak!,dw.com,1
Atomkraft - ja tak!,edition.cnn.com,1
Atomkraft - ja tak!,ekstrabladet.dk,6
Atomkraft - ja tak!,energinyheter.se,1
Atomkraft - ja tak!,euractiv.com,2
Atomkraft - ja tak!,euronews.com,1
Atomkraft - ja tak!,expressen.se,1
Atomkraft - ja tak!,facebook,68
Atomkraft - ja tak!,finans.dk,5
Atomkraft - ja tak!,finansavisen.no,1
Atomkraft - ja tak!,focus.de,1
Atomkraft - ja tak!,forbes.com,6
Atomkraft - ja tak!,ft.com,1
Atomkraft - ja tak!,fyens.dk,1
Atomkraft - ja tak!,greenpeace.org,1
Atomkraft - ja tak!,indblik.dk,2
Atomkraft - ja tak!,indblik.net,6
Atomkraft - ja tak!,information.dk,22
Atomkraft - ja tak!,ing.dk,39
Atomkraft - ja tak!,jv.dk,2
Atomkraft - ja tak!,jyllands-posten.dk,19
Atomkraft - ja tak!,klimarealisme.dk,1
Atomkraft - ja tak!,kontrast.dk,3
Atomkraft - ja tak!,kristeligt-dagblad.dk,2
Atomkraft - ja tak!,kvartal.se,1
Atomkraft - ja tak!,m.dw.com,1
Atomkraft - ja tak!,medium.com,1
Atomkraft - ja tak!,miljoogklima.dk,1
Atomkraft - ja tak!,mm.dk,1
Atomkraft - ja tak!,msn.com,1
Atomkraft - ja tak!,nan,393
Atomkraft - ja tak!,nyheder.tv2.dk,7
Atomkraft - ja tak!,politiken.dk,6
Atomkraft - ja tak!,raeson.dk,4
Atomkraft - ja tak!,reuters.com,1
Atomkraft - ja tak!,rokokoposten.dk,1
Atomkraft - ja tak!,second-opinion.se,1
Atomkraft - ja tak!,skynews.com.au,1
Atomkraft - ja tak!,sonderborgnyt.dk,1
Atomkraft - ja tak!,svd.se,2
Atomkraft - ja tak!,svt.se,2
Atomkraft - ja tak!,theguardian.com,3
Atomkraft - ja tak!,tv2east.dk,1
Atomkraft - ja tak!,tvmidtvest.dk,2
Atomkraft - ja tak!,videnskab.dk,3
Atomkraft - ja tak!,washingtonexaminer.com,1
Atomkraft - ja tak!,weekendavisen.dk,5
Atomkraft - ja tak!,wp.me,1
Atomkraft - ja tak!,zetland.dk,10
A🇸🇪,jp.dk,1
B. Skou 🇩🇰 💙🇩🇰,berlingske.dk,3
B. Skou 🇩🇰 💙🇩🇰,finans.dk,1
B. Skou 🇩🇰 💙🇩🇰,folkets.dk,1
B. Skou 🇩🇰 💙🇩🇰,jp.dk,5
BORGERLIG økonomi- og idédebat.,altinget.dk,2
BORGERLIG økonomi- og idédebat.,berlingske.dk,6
BORGERLIG økonomi- og idédebat.,facebook,1
BORGERLIG økonomi- og idédebat.,folkets.dk,4
BORGERLIG økonomi- og idédebat.,indblik.net,1
BORGERLIG økonomi- og idédebat.,ing.dk,1
BORGERLIG økonomi- og idédebat.,jyllands-posten.dk,1
BORGERLIG økonomi- og idédebat.,mm.dk,1
BORGERLIG økonomi- og idédebat.,nan,5
BORGERLIG økonomi- og idédebat.,politiken.dk,1
BORGERLIG økonomi- og idédebat.,sciencedirect.com,1
Baltic,omni.se,1
Bang,berlingske.dk,1
Bang,borsen.dk,1
Bang,dlvr.it,1
Bang,e-pages.dk,2
Bang,finans.dk,2
Bang,folkets.dk,1
Bang,jp.dk,2
Bang,klimatsans.com,1
Bang,nan,2
Bang,nyheder.tv2.dk,24
Bang,vejr.tv2.dk,2
Barbara Santana,omni.se,1
Bastian Friborg Consulting,information.dk,1
Bastian Friborg Consulting,jv.dk,1
Bastian Friborg Consulting,nan,1
Beate Vossen,nan,3
Bellamonte,samnytt.se,1
Beltschazzar,to.welt.de,1
Bengt G Larsson,newsvoice.se,3
Bengt Höjer,samnytt.se,1
Bent Preben Nielsen,24nyt.dk,8
Bent Preben Nielsen,altinget.dk,5
Bent Preben Nielsen,berlingske.dk,20
Bent Preben Nielsen,denkorteavis.dk,7
Bent Preben Nielsen,dlvr.it,1
Bent Preben Nielsen,finans.dk,1
Bent Preben Nielsen,folkets.dk,4
Bent Preben Nielsen,indblik.dk,1
Bent Preben Nielsen,indblik.net,1
Bent Preben Nielsen,jp.dk,28
Bent Preben Nielsen,jyllands-posten.dk,1
Bent Preben Nielsen,k.dk,2
Bent Preben Nielsen,kristeligt-dagblad.dk,4
Bent Preben Nielsen,nan,28
Bent Preben Nielsen,newspeek.info,3
Bent Preben Nielsen,nyheder.tv2.dk,3
Bent Preben Nielsen,twitter,3
Bent Preben Nielsen,videnskab.dk,26
Berglund 🇸🇪,gota.media,1
Berhem©,sverigesradio.se,1
Bernst Gunnar MGTOW 🇷🇺,tv4play.se/program,1
Berulf,bulletin.nu,1
Bevar Radio24syv!,nan,1
Bevar den originale Radio24syv!,dr.dk,1
Bevar den originale Radio24syv!,nan,1
Bevar muligheden for fortsat brug af alternativ behandling i DK,information.dk,1
Bevægelsen mod EU,altinget.dk,1
Bevægelsen mod EU,baeredygtigtlandbrug.dk,1
Bevægelsen mod EU,dr.dk,2
Bevægelsen mod EU,exxpress.at,1
Bevægelsen mod EU,facebook,15
Bevægelsen mod EU,nan,7
Bevægelsen mod EU,newspeek.info,1
Bevægelsen mod EU,politiken.dk,1
Big Mother - Velfærdsstaten til debat,folkets.dk,1
Birgit Tyron - Nye Borgerlige,facebook,1
Birgit Tyron - Nye Borgerlige,nan,2
Birgit Woer,24nyt.dk,2
Birgit Woer,denkorteavis.dk,25
Birgit Woer,readyandhyped.blogspot.com,1
Birgitte Bergman,altinget.dk,2
Birgitte Bergman,borsen.dk,1
Birgitte Bergman,nan,6
Birgitte Bergman,nyheder.tv2.dk,1
Birgitte Bergman,sn.dk,1
Birgitte Milling,dr.dk,1
Birthe Petersen,naturalnews.com,1
Bitter Blog,berlingske.dk,1
Bitter Blog,bt.dk,2
Bitter Blog,dr.dk,1
Bitter Blog,nan,4
Bitter Blog,stiften.dk,1
BjarneBever,politiken.dk,1
Bjorn Lomborg,borsen.dk,1
Bjorn Lomborg,nan,2
Bjorn Lomborg,twitter,1
Björn H. Håkanson,samnytt.se,1
Björn Nordlund,gota.media,1
Björn Waldt,24nyt.dk,1
Bo Erik Hansen kandidat for Nye borgerlige Næstved,dr.dk,1
Bo Erik Hansen kandidat for Nye borgerlige Næstved,facebook,1
Bo Erik Hansen kandidat for Nye borgerlige Næstved,jyllands-posten.dk,1
Bo Erik Hansen kandidat for Nye borgerlige Næstved,nan,1
Bo Hansson,gota.media,1
Bomfritt Norge!,dagbladet.no,1
Bomfritt Norge!,nan,1
Bomfritt Norge!,vg.no,1
Borgerlig debat,180grader.dk,1
Borgerlig debat,berlingske.dk,1
Borgerlig debat,indblik.dk,3
Borgerlig debat,nan,1
Bornholmnyt.dk,nan,1
BourgeoisBohemian🔯,omni.se,1
Brian G Mogensen,berlingske.dk,1
Brian G Mogensen,jp.dk,1
Brian G Mogensen,nyheder.tv2.dk,1
Brian G Mogensen,politiken.dk,1
Britta Linde,svd.se,1
Bruno Tiozzo,svd.se,1
Byrådsmedlem Niels Bjerre Degn Socialdemokratiet Furesø,information.dk,1
Byrådsmedlem Niels Bjerre Degn Socialdemokratiet Furesø,nan,4
Börje Carlsson,aftonbladet.se,1
CEPOS,altinget.dk,1
CEPOS,berlingske.dk,2
CEPOS,borsen.dk,1
CEPOS,facebook,38
CEPOS,finans.dk,1
CEPOS,information.dk,1
CEPOS,nan,2
Carflow,gota.media,1
Carina Bjm.H,twitter,1
Carl Christian Ebbesen DF,altinget.dk,1
Carl Christian Ebbesen DF,danskfolkeparti.dk,2
Carl Christian Ebbesen DF,ditoverblik.dk,5
Carl Christian Ebbesen DF,facebook,1
Carl Christian Ebbesen DF,ing.dk,1
Carl Sidenvall,gota.media,1
Caroline Brøbech Kofahl,jp.dk,12
Caroline Kofahl,berlingske.dk,6
Caroline Kofahl,nyheder.tv2.dk,1
Carsten Engelsgaard,24nyt.dk,3
Carsten Engelsgaard,folkets.dk,1
Carsten Engelsgaard,jp.dk,2
Carsten Engelsgaard,nan,1
Carsten Kjær,nan,1
Celind,nan,1
Censur i Danmark - Nej Tak -  MedieDebat på FB,dr.dk,1
Censur i Danmark - Nej Tak -  MedieDebat på FB,facebook,1
Censur i Danmark - Nej Tak -  MedieDebat på FB,folkets.dk,1
Censur i Danmark - Nej Tak -  MedieDebat på FB,indblik.net,1
Censur i Danmark - Nej Tak -  MedieDebat på FB,nan,2
Censur i Danmark - Nej Tak -  MedieDebat på FB,newspeek.info,1
Cheanne Nielsen,facebook,1
Chris Willanders 范克千 The world needs ☯️ and🕊️,nan,1
Christel Gall - De LokalNationale,ditoverblik.dk,2
Christel Gall - De LokalNationale,dr.dk,1
Christel Gall - De LokalNationale,fyens.dk,1
Christel Gall - De LokalNationale,nan,11
Christer Eriksson,varldenidag.se,1
Christer Stolt,nyatider.nu,1
Christian Cederberg,jp.dk,4
Christian Cederberg,nyheder.tv2.dk,1
Christian Egander Skov,jp.dk,1
Christian Nørremark,nan,1
Christian Tybring-Gjedde bør bli Statsminister!,nan,1
Christina E,gota.media,1
Christopher Buch,nan,4
Christopher Røhl,bt.dk,1
Christopher Røhl,nan,30
Christopher Røhl,politiken.dk,1
Christopher Røhl,tv2lorry.dk,1
Christopher 💉💉💉Buch,nyheder.tv2.dk,1
Claes Berggren,svt.se,1
Claes Blomqvist,gota.media,1
Claes Theilgaard,indblik.dk,4
Claus Bøgh Svenningsen,180grader.dk,1
Claus Bøgh Svenningsen,facebook,2
Claus Bøgh Svenningsen,jyllands-posten.dk,1
Claus Bøgh Svenningsen,nan,16
Claus Bøgh Svenningsen,nyeborgerlige.dk,3
Cliff Barnes,klimathotet.com,1
Cliff Barnes,nan,3
Cliff Barnes,twitter,1
CoRRECT™ Movement Moderated Public Forum,facebook,1
Contra,svd.se,1
Contra Nu,youtube,1
CopenhagenDroid 🇧🇦,jp.dk,1
CopenhagenDroid 🇧🇦,kristeligt-dagblad.dk,1
CopenhagenDroid 🇧🇦,nan,1
Corona Samfundssind,nan,1
Corona facts - de gode nyheder,nan,2
Covid-19 - The gift for dictators,jyllands-posten.dk,1
Covid-19 dræber Information,nan,1
Csiszar,nan,1
Curiositorious,nan,2
D Trump for president!,svt.se,1
DANEXIT,indblik.net,1
DANMARK ER MIN FAMILIE MIT FÆDRELAND,derimot.no,1
DANMARK ER MIN FAMILIE MIT FÆDRELAND,nan,1
DEBATFORUM BORNHOLM,dr.dk,1
DEBATFORUM BORNHOLM,indblik.net,1
DEBATFORUM BORNHOLM,nan,2
DEBATFORUM BORNHOLM,politiken.dk,1
DEN KORTE AVIS,denkorteavis.dk,12
DEN TYSTA REVOLUTIONEN I SVERIGE,nan,1
DF Berit Christensen,nyheder.tv2.dk,1
DF Brian Mørch,denkorteavis.dk,3
DF Brian Mørch,nan,1
DF Lyngby-Taarbæk,dr.dk,1
"DF Netværk, Djursland",nyheder.tv2.dk,1
DF Norddjurs Lokalforening,ditoverblik.dk,1
DF Norddjurs Lokalforening,facebook,1
DF Norddjurs Lokalforening,nan,2
DF Nordfyn,berlingske.dk,1
DF Nordfyn,nan,1
DF Nordfyn,nyheder.tv2.dk,3
DF Odsherred,dr.dk,1
DF Odsherred,politiken.dk,1
DF Søren Lund Hansen,document.no,1
DF Vejle,nan,1
DJ SWEDEN,nan,2
DNS=Det Nya Sverige,gp.se,1
DR P4 Fyn,dr.dk,8
DR P4 Fyn,nan,1
DR Politik,bit.ly,2
DR Politik,dr.dk,102
DR Politik,facebook,1
DR Politik,nan,2
Dagens Nyheder,24nyt.dk,1
Dagens Nyheder,euronews.com,3
Dagens Nyheder,nan,11
Dagens Nyheder,rt.com,1
Dan K. Jørgensen,nan,6
Dan Möller,borsen.dk,1
Dane,180grader.dk,1
Dane,altinget.dk,1
Dane,bt.dk,1
Dane,ekstrabladet.dk,1
Dane,jp.dk,3
Dane,klimarealisme.dk,2
Dane,nan,43
Dane,readyandhyped.blogspot.com,1
Dane,twitter,3
Danexit,altinget.dk,3
Danexit,bt.dk,1
Danexit,denkorteavis.dk,1
Danexit,ditoverblik.dk,1
Danexit,document.dk,1
Danexit,document.no,1
Danexit,dr.dk,2
Danexit,ekstrabladet.dk,1
Danexit,facebook,4
Danexit,fyens.dk,1
Danexit,indblik.net,1
Danexit,ing.dk,1
Danexit,journalista.dk,1
Danexit,jyllands-posten.dk,3
Danexit,ksdha.wordpress.com,1
Danexit,nan,7
Danexit,nyheder.tv2.dk,1
Danexit,nyheteridag.se,1
Danexit,politiken.dk,1
Danexit,videnskab.dk,1
Dani,youtube,1
Daniel Karlsson,nan,1
Danmark ud af EU.,facebook,4
Danmark ud af EU.,nan,4
DanmarkFrit,nan,1
DanmarkFrit,stiften.dk,1
Danny Gullin,di.se,1
Danny Gullin,nan,1
Danny Gullin,svd.se,1
Danny Rosenkilde,facebook,2
Danny Rosenkilde,nan,2
Dansk Folkeparti,danskfolkeparti.dk,2
Dansk Folkeparti,ditoverblik.dk,4
Dansk Folkeparti,energiwatch.dk,1
Dansk Folkeparti,facebook,12
Dansk Folkeparti,jyllands-posten.dk,1
Dansk Folkeparti,nyheder.tv2.dk,1
Dansk Folkeparti - Brønderslev,nan,1
Dansk Folkeparti - Hillerød,facebook,1
Dansk Folkeparti - Hillerød,nyheder.tv2.dk,1
Dansk Folkeparti - Nicolai Estrup,danskfolkeparti.dk,2
Dansk Folkeparti - Nicolai Estrup,facebook,4
Dansk Folkeparti - Nicolai Estrup,folkets.dk,1
Dansk Folkeparti - Nicolai Estrup,information.dk,1
Dansk Folkeparti - Nicolai Estrup,jyllands-posten.dk,2
Dansk Folkeparti - Nicolai Estrup,nan,3
